2025_CMP,2025_ATT,2025_YD,2025_TD,2025_INT,2025_Y/C,2025_Y/G,2025_FP,Name,Team
356.69,572.51,4076.52,29.29,12.65,255.233,95.13900000000004,252.32520000000008,Jared Goff,DET
334.62,513.55,4081.67,27.7,11.52,256.2409999999998,98.05599999999997,244.99999999999991,C.J. Stroud,HOU
337.67,533.59,3888.95,27.0,12.67,250.92600000000004,92.70700000000001,237.64439999999988,Patrick Mahomes,KAN
333.1,511.61,3951.97,26.12,12.27,256.571,96.38700000000006,235.91000000000008,Tua Tagovailoa,MIA
377.18,575.94,3952.49,24.36,13.15,259.4599999999999,92.85000000000002,232.49719999999994,Jordan Love,GNB
375.0,571.29,3878.03,24.71,13.38,261.96699999999987,90.689,228.50519999999983,Baker Mayfield,TAM
323.37,490.16,3515.22,27.44,13.92,248.00999999999985,92.7730000000001,223.93560000000002,Dak Prescott,DAL
303.35,455.73,3105.29,25.61,8.66,242.17100000000005,95.08800000000008,218.42600000000004,Brock Purdy,SFO
309.13,455.48,3345.26,22.36,11.08,253.9019999999999,95.02099999999999,216.39079999999996,Matthew Stafford,LAR
331.99,502.87,3511.52,24.06,12.01,253.97400000000005,93.29899999999999,209.3319999999999,Josh Allen,BUF
323.48,491.0,3615.37,19.39,11.39,233.3739999999998,87.59899999999999,198.03119999999996,Derek Carr,NOR
298.11,453.32,3304.68,18.0,7.3,233.4309999999998,92.67099999999999,189.46800000000007,Geno Smith,SEA
321.39,490.62,3262.86,18.24,11.03,243.47199999999987,91.536,189.09199999999993,Trevor Lawrence,JAX
261.81,394.83,3136.49,17.46,6.62,224.56000000000003,90.85000000000004,183.94080000000002,Justin Herbert,LAC
330.06,495.58,3119.6,16.84,8.03,228.98600000000002,89.60499999999998,176.3652000000001,Sam Howell,SEA
246.82,376.74,2885.9,18.2,7.7,234.57600000000014,92.83600000000003,168.54720000000026,Gardner Minshew II,LVR
275.48,420.89,3063.95,16.3,10.29,221.52099999999987,86.97200000000004,167.52439999999987,Lamar Jackson,BAL
268.5,428.57,2923.15,14.2,10.41,214.9279999999998,88.81000000000003,160.74240000000006,Jalen Hurts,PHI
226.57,336.33,2550.44,14.12,7.64,215.3940000000002,87.065,152.82680000000016,Bryce Young,CAR
204.03,323.03,2661.42,13.4,10.52,215.25700000000012,85.54400000000001,135.49039999999997,Russell Wilson,PIT
209.51,321.41,2219.13,13.61,7.78,176.12999999999997,87.601,131.09000000000012,Justin Fields,PIT
166.22,216.33,1839.68,15.77,5.33,194.13400000000001,94.17800000000003,122.2996,Kirk Cousins,ATL
194.04,305.32,2291.47,10.68,7.29,160.328,84.804,121.31559999999998,Joe Burrow,CIN
196.3,333.96,2261.81,10.62,7.64,184.77399999999992,85.90400000000001,114.40160000000009,Desmond Ridder,LVR
175.14,268.25,2002.72,11.51,6.79,147.88600000000008,84.26799999999992,107.83559999999997,Tommy DeVito,NYG
174.81,263.11,1945.77,9.98,4.73,146.77,85.88799999999992,103.80159999999992,Tyrod Taylor,NYJ
137.46,203.06,1350.33,13.42,3.82,182.66400000000002,82.29299999999998,101.20480000000003,Joe Flacco,IND
168.08,284.48,1982.18,10.73,8.56,173.23700000000008,86.83899999999996,98.79520000000007,Jimmy Garoppolo,LAR
170.48,295.73,1816.05,8.23,8.29,202.85599999999994,81.17599999999992,96.35000000000004,Mac Jones,JAX
128.82,196.32,1355.23,11.77,5.75,206.29800000000006,79.90499999999996,94.07520000000002,Nick Mullens,MIN
152.75,225.48,1474.78,8.61,7.23,157.67800000000008,83.67799999999995,91.51,Deshaun Watson,CLE
145.4,223.8,1554.37,9.29,4.76,158.09000000000006,81.54299999999988,86.53640000000003,Bailey Zappe,CLE
147.66,233.41,1455.02,6.49,5.57,153.86800000000008,81.90499999999994,78.10239999999999,Kenny Pickett,PHI
148.14,214.7,1329.67,6.66,6.17,164.82400000000004,82.25399999999992,74.42080000000001,Will Levis,TEN
115.13,160.18,1355.93,6.24,5.43,189.96999999999986,82.22199999999995,69.31400000000004,Aidan O'Connell,LVR
129.03,178.05,1224.77,6.15,3.8,150.36800000000005,77.88699999999996,65.66640000000002,Kyler Murray,ARI
125.65,227.47,1097.87,6.02,4.17,147.39900000000003,88.87799999999996,62.93199999999999,Mason Rudolph,TEN
65.9,111.68,810.43,5.29,2.14,101.109,91.73699999999997,59.88879999999999,Taylor Heinicke,LAC
109.39833333333333,168.46,1103.4733333333334,5.236666666666667,4.886666666666667,149.93533333333323,69.18500000000004,58.57759999999993,Josh Johnson,BAL
73.16,118.64,780.1166666666667,2.99,2.97,106.95999999999995,42.53899999999999,39.21279999999997,Clayton Tune,ARI
70.29,110.61,669.33,4.77,2.6,105.233,86.21699999999998,38.36600000000003,Joshua Dobbs,SFO
46.96,93.56,591.46,3.84,2.1,52.04000000000005,73.18200000000007,36.180400000000006,Mike White,BUF
38.8,68.81,578.74,3.25,2.05,53.51600000000004,73.36400000000005,33.79320000000002,Malik Willis,GNB
61.08,94.76,675.53,2.47,2.64,77.667,65.59499999999997,32.66999999999998,Dorian Thompson-Robinson,CLE
62.71890476190477,101.23828571428571,609.8574285714285,3.150666666666666,4.353142857142857,149.44339523809538,70.67091428571432,27.068640000000006,Kyle Trask,TAM
62.71890476190477,101.23828571428571,609.8574285714285,3.150666666666666,4.353142857142857,149.44339523809538,70.67091428571432,27.068640000000006,Aaron Rodgers,NYJ
38.15,59.1,464.8,2.56,2.03,89.69399999999997,84.83799999999998,25.03079999999997,Jameis Winston,CLE
48.83,59.2,481.85,2.15,1.55,59.74599999999997,77.49599999999998,24.9712,Tim Boyle,NYG
51.4,83.89,480.91,2.68,2.59,102.05099999999999,58.805000000000035,24.556799999999985,Brandon Allen,SFO
52.31,75.14,481.47,1.46,1.8,67.21700000000004,65.61999999999998,23.83199999999999,Skylar Thompson,MIA
39.24,68.86,472.7,2.31,2.42,79.17700000000002,80.48100000000001,23.256399999999996,Tim Boyle,2TM
53.61,66.83,518.48,1.56,2.15,81.30899999999998,79.10899999999994,22.49680000000001,Daniel Jones,NYG
53.84,73.78,574.86,1.97,2.25,105.52000000000002,85.28099999999995,22.49640000000001,Tyson Bagent,CHI
64.09,81.72,460.85,1.62,1.52,56.751,91.48799999999996,20.70039999999999,Mitchell Trubisky,BUF
27.29,37.2,357.9,1.95,1.2,63.372999999999955,69.50399999999998,18.8732,Trey Lance,DAL
30.36,43.76,328.86,1.87,0.8,66.124,85.116,18.189199999999992,Tim Boyle,MIA
11.92,17.75,156.76,1.21,0.23,27.027,74.55000000000007,15.808400000000004,Cooper Rush,DAL
30.94,53.53,372.39,1.92,1.61,70.32100000000001,68.424,15.686000000000002,Kyle Allen,PIT
20.34,38.61,225.4,1.25,0.64,42.94900000000003,88.57100000000005,14.141999999999996,Drew Lock,NYG
36.0,54.8,302.13,1.99,1.72,85.819,91.795,14.029200000000001,Andy Dalton,CAR
24.02,42.64,231.6,1.79,0.65,54.73299999999999,82.22000000000004,12.733200000000005,Sam Darnold,MIN
22.99,37.22,260.19,1.28,0.54,58.19499999999998,86.24900000000005,11.622799999999994,Anthony Richardson,IND
28.2,40.79,253.65,1.26,1.7,146.668,79.84799999999997,10.6368,Carson Wentz,KAN
17.32,28.6,199.76,1.2,1.18,56.317999999999984,76.45500000000001,9.596,Marcus Mariota,WAS
30.4,50.45,262.26,0.83,1.53,124.10500000000003,77.81799999999997,9.0712,Tyler Huntley,MIA
19.32,26.9,171.92,0.77,0.71,49.73299999999998,89.60199999999999,8.574399999999999,Davis Mills,HOU
20.08,33.83,205.01,0.99,0.8,65.41599999999998,80.04199999999993,7.174799999999999,Jacoby Brissett,NWE
